Baseline,res_pol0,res_pol1
ea01-ea01, 0.0, 0.0 
ea02-ea02, 0.0, 0.0 
ea03-ea03, 0.0, 0.0 
ea04-ea04, 0.0, 0.0 
ea06-ea06, 0.0, 0.0 
ea09-ea09, 0.0, 0.0 
ea10-ea10, 0.0, 0.0 
ea11-ea11, 0.0, 0.0 
ea17-ea17, 0.0, 0.0 
ea18-ea18, 0.0, 0.0 
ea19-ea19, 0.0, 0.0 
ea21-ea21, 0.0, 0.0 
ea22-ea22, 0.0, 0.0 
ea23-ea23, 0.0, 0.0 
ea27-ea27, 0.0, 0.0 
ea28-ea28, 0.0, 0.0 
ea01-ea02, 3.472221851348877, 13.020833015441895 
ea01-ea03, 0.8727561235427856, 13.888887405395508 
ea01-ea04, -4.334010601043701, 5.207810401916504 
ea01-ea06, -2.603644371032715, -2.5926759243011475 
ea01-ea09, -12.152254104614258, 16.481042861938477 
ea01-ea10, -0.014624282717704773, 13.025533676147461 
ea01-ea11, 3.2262206077575684, 21.06941032409668 
ea01-ea17, -1.732454776763916, 11.289946556091309 
ea01-ea18, 0.8685777187347412, 13.888887405395508 
ea01-ea19, -2.600510358810425, 6.943921089172363 
ea01-ea21, -2.6010327339172363, 11.284722328186035 
ea01-ea22, -8.680034637451172, 1.7334994077682495 
ea01-ea23, 10.416666984558105, 7.8125 
ea01-ea27, -0.8137367367744446, 9.553834915161133 
ea01-ea28, 5.221912384033203, 15.624478340148926 
ea02-ea03, -2.6010324954986572, 0.8680554628372192 
ea02-ea04, -7.8057098388671875, -8.376580238342285 
ea02-ea06, -6.073776721954346, -15.619255065917969 
ea02-ea09, -15.619255065917969, 3.460731267929077 
ea02-ea10, -3.483189821243286, 0.0020891830790787935 
ea02-ea11, 0.27733904123306274, 8.02768611907959 
ea02-ea17, -5.205199241638184, -2.4892613887786865 
ea02-ea18, -2.762944459915161, 0.8680554628372192 
ea02-ea19, -6.071165561676025, -6.768951892852783 
ea02-ea21, -6.073776721954346, -1.7361109256744385 
ea02-ea22, -12.152777671813965, -11.302480697631836 
ea02-ea23, 6.942354202270508, -5.208333492279053 
ea02-ea27, -3.873345375061035, -3.472221851348877 
ea02-ea28, 1.7470791339874268, 2.598421335220337 
ea03-ea04, -5.202065467834473, -9.545477867126465 
ea03-ea06, -3.473266124725342, -16.482088088989258 
ea03-ea09, -13.522237777709961, 2.5200767517089844 
ea03-ea10, -0.6131750345230103, -0.8643993735313416 
ea03-ea11, 2.5310449600219727, 6.860875606536865 
ea03-ea17, -2.6015548706054688, -3.460731267929077 
ea03-ea18, 0.003656070213764906, 0.0 
ea03-ea19, -3.922440528869629, -7.8046650886535645 
ea03-ea21, -3.4774444103240967, -2.6041667461395264 
ea03-ea22, -9.64419174194336, -13.014042854309082 
ea03-ea23, 9.540777206420898, -6.076388835906982 
ea03-ea27, -1.2932038307189941, -4.339756011962891 
ea03-ea28, 4.348635196685791, 0.9061830043792725 
ea04-ea06, 1.2942488193511963, -6.944965839385986 
ea04-ea09, -8.24757194519043, 11.273755073547363 
ea04-ea10, 3.5594451427459717, 8.675333976745605 
ea04-ea11, 6.908926963806152, 16.6915283203125 
ea04-ea17, 2.6031219959259033, 6.082655906677246 
ea04-ea18, 5.210422039031982, 8.680556297302246 
ea04-ea19, 1.7841620445251465, 1.7361109256744385 
ea04-ea21, 1.7361109256744385, 6.943398952484131 
ea04-ea22, -4.459362030029297, -3.472221851348877 
ea04-ea23, 14.730828285217285, 3.465954065322876 
ea04-ea27, 3.26643705368042, 5.206243991851807 
ea04-ea28, 9.552790641784668, 10.416666984558105 
ea06-ea09, -10.039047241210938, 18.21715545654297 
ea06-ea10, 2.5895423889160156, 15.621343612670898 
ea06-ea11, 6.191293239593506, 23.545093536376953 
ea06-ea17, 0.588104784488678, 13.027101516723633 
ea06-ea18, 4.325131893157959, 16.48678970336914 
ea06-ea19, 0.02454790286719799, 8.682123184204102 
ea06-ea21, 0.0031337749678641558, 13.88314151763916 
ea06-ea22, -6.1009368896484375, 3.4737884998321533 
ea06-ea23, 13.304962158203125, 10.409353256225586 
ea06-ea27, 3.407979726791382, 12.145987510681152 
ea06-ea28, 8.460670471191406, 17.358501434326172 
ea09-ea10, 15.213953971862793, -2.5916314125061035 
ea09-ea11, 16.184900283813477, 5.245937824249268 
ea09-ea17, 10.419278144836426, -5.191619396209717 
ea09-ea18, 13.019267082214355, -2.5926759243011475 
ea09-ea19, 10.203048706054688, -9.537644386291504 
ea09-ea21, 9.54652214050293, -4.455183506011963 
ea09-ea22, 4.079651832580566, -14.745976448059082 
ea09-ea23, 22.560043334960938, -8.652874946594238 
ea09-ea27, 12.014890670776367, -6.070120811462402 
ea09-ea28, 17.245685577392578, -0.8570871949195862 
ea10-ea11, 3.0899014472961426, 7.621862411499023 
ea10-ea17, -1.7235757112503052, -2.5947654247283936 
ea10-ea18, 1.732977032661438, 0.8659662008285522 
ea10-ea19, -2.488739013671875, -6.941831588745117 
ea10-ea21, -2.5874528884887695, -1.7376776933670044 
ea10-ea22, -8.65861988067627, -12.146509170532227 
ea10-ea23, 10.422933578491211, -5.211466312408447 
ea10-ea27, 0.012012802995741367, -3.4727437496185303 
ea10-ea28, 6.082655906677246, 1.7376776933670044 
ea11-ea17, -5.004637718200684, -10.55402946472168 
ea11-ea18, -1.7193974256515503, -7.119934558868408 
ea11-ea19, -5.663774490356445, -14.691658020019531 
ea11-ea21, -6.126006603240967, -9.3579740524292 
ea11-ea22, -11.956915855407715, -19.77777099609375 
ea11-ea23, 6.789844036102295, -13.096567153930664 
ea11-ea27, -3.7203121185302734, -11.341130256652832 
ea11-ea28, 2.163348913192749, -6.134363174438477 
ea17-ea18, 2.6083450317382812, 2.6010327339172363 
ea17-ea19, -0.8649216294288635, -4.346546173095703 
ea17-ea21, -0.867010772228241, 0.8617878556251526 
ea17-ea22, -6.94914436340332, -9.551746368408203 
ea17-ea23, 12.140241622924805, -2.6193130016326904 
ea17-ea27, 0.877456784248352, -0.8753675222396851 
ea17-ea28, 6.951755523681641, 4.334010601043701 
ea18-ea19, -3.472221851348877, -7.175821304321289 
ea18-ea21, -3.474310874938965, -2.6041667461395264 
ea18-ea22, -9.553312301635742, -12.152777671813965 
ea18-ea23, 8.897308349609375, -6.076388835906982 
ea18-ea27, -1.7314101457595825, -4.340278148651123 
ea18-ea28, 4.340278148651123, 1.7361109256744385 
ea19-ea21, -0.003133774269372225, 5.20728874206543 
ea19-ea22, -6.076388835906982, -5.208333492279053 
ea19-ea23, 13.011431694030762, 1.729843258857727 
ea19-ea27, 1.433701515197754, 3.471177101135254 
ea19-ea28, 7.81511116027832, 8.680556297302246 
ea21-ea22, -6.076388835906982, -10.416666984558105 
ea21-ea23, 13.011955261230469, -3.472221851348877 
ea21-ea27, 1.7402892112731934, -1.7361109256744385 
ea21-ea28, 7.818767547607422, 3.4727439880371094 
ea22-ea23, 19.095657348632812, 6.937130928039551 
ea22-ea27, 7.825557231903076, 8.674811363220215 
ea22-ea28, 13.471050262451172, 13.888887405395508 
ea23-ea27, -10.526347160339355, 1.736633062362671 
ea23-ea28, -4.346546173095703, 6.956456661224365 
ea27-ea28, 5.63661527633667, 5.209377288818359 
